vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Health,BE,0.55,bing,2021
Home Improvement & Maintenance,BE,0.68,bing,2021
Home Improvement & Maintenance,BE,0.68,adwords,2021
Industrial,BE,0.44,bing,2021
Cars & Motorbikes,BE,0.32,adwords,2021
Accommodation & Hotels,BE,0.35,bing,2021
Home Improvement & Maintenance,BE,0.17,bing,2021
Home Improvement & Maintenance,BE,0.17,bing,2021
Home Improvement & Maintenance,BE,0.68,adwords,2021
Home Improvement & Maintenance,BE,0.3,bing,2021
Fashion & Clothing,BE,0.64,adwords,2022
Business,BE,1.29,adwords,2021
Real Estate,BE,1.08,bing,2021
Home Improvement & Maintenance,BE,1.22,facebook,2021
Home Improvement & Maintenance,BE,0.14,bing,2021
Food & Drinks,BE,0.3,facebook,2021
Food & Drinks,BE,0.07,facebook,2021
Health,BE,0.34,bing,2021
Transport & Logistics,BE,0.51,bing,2021
Home Improvement & Maintenance,BE,1.11,bing,2021
Home Improvement & Maintenance,BE,0.8,facebook,2021
Home Improvement & Maintenance,BE,0.27,facebook,2021
Pharmacy,BE,1.15,facebook,2021
Health,BE,0.6,bing,2021
Funeral Services,BE,0.11,bing,2021
Agriculture,BE,1.02,bing,2021
Home Improvement & Maintenance,BE,0.3,facebook,2021
Home Improvement & Maintenance,BE,0.75,bing,2021
Home Improvement & Maintenance,BE,0.73,bing,2021
Home Improvement & Maintenance,BE,0.24,bing,2021
Accounting,BE,1.0,bing,2021
Home Improvement & Maintenance,BE,0.83,bing,2021
Home Improvement & Maintenance,BE,0.19,bing,2021
Real Estate,BE,0.27,adwords,2021
Home Improvement & Maintenance,BE,0.3,bing,2021
Transport & Logistics,BE,0.75,facebook,2021
Funeral Services,BE,0.97,bing,2021
Health,BE,1.22,bing,2021
Home Improvement & Maintenance,BE,1.03,bing,2021
Security,BE,0.39,bing,2021
Cars & Motorbikes,BE,0.44,adwords,2021
Funeral Services,BE,0.4,adwords,2023
Funeral Services,BE,0.73,facebook,2021
Health,BE,0.33,bing,2021
Home Improvement & Maintenance,BE,0.79,adwords,2021
Home Improvement & Maintenance,BE,0.22,bing,2020
Legal & Law,BE,0.81,bing,2021
Food & Drinks,BE,0.53,facebook,2021
School,BE,0.67,adwords,2021
Health,BE,0.47,adwords,2021
Home Improvement & Maintenance,BE,0.9,bing,2021
Restaurant,BE,0.63,bing,2021
Electronics,BE,0.71,bing,2021
Industrial,BE,0.3,adwords,2021
Flowers & Plants,BE,3.0,bing,2023
Home Improvement & Maintenance,BE,0.82,adwords,2021
Accounting,BE,0.36,bing,2021
Industrial,BE,2.15,bing,2021
Cars & Motorbikes,BE,0.37,bing,2021
Home Improvement & Maintenance,BE,1.77,adwords,2021
Cars & Motorbikes,BE,0.28,bing,2021
Electronics,BE,0.2,facebook,2021
Food & Drinks,BE,0.7,bing,2021
Electronics,BE,0.68,facebook,2020
Legal & Law,BE,0.77,bing,2020
Agriculture,BE,0.29,adwords,2021
Home Improvement & Maintenance,BE,3.0,adwords,2021
Food & Drinks,BE,0.91,adwords,2021
Health,BE,0.66,bing,2021
Cars & Motorbikes,BE,1.05,bing,2021
Industrial,BE,0.32,bing,2021
Cars & Motorbikes,BE,0.93,bing,2020
Industrial,BE,1.07,adwords,2021
Cars & Motorbikes,BE,0.4,bing,2021
Home Improvement & Maintenance,BE,0.42,adwords,2021
Agriculture,BE,1.14,adwords,2020
Flowers & Plants,BE,0.38,bing,2021
Fashion & Clothing,BE,0.29,facebook,2021
Home Improvement & Maintenance,BE,0.38,adwords,2021
Home Improvement & Maintenance,BE,0.85,bing,2021
Food & Drinks,BE,0.29,adwords,2020
Interior Design & Furniture,BE,0.14,adwords,2021
Real Estate,BE,0.26,adwords,2022
Home Improvement & Maintenance,BE,0.26,bing,2021
Home Improvement & Maintenance,BE,0.67,bing,2021
Interior Design & Furniture,BE,0.36,adwords,2021
Funeral Services,BE,0.24,bing,2021
Home Improvement & Maintenance,BE,0.18,adwords,2021
Home Improvement & Maintenance,BE,0.5,adwords,2021
